"location","NAME_0","NAME_1","GID_1"
"Argentina-Buenos_Aires","Argentina","BUENOS AIRES","ARG.1_1"
"Argentina-CABA","Argentina","CIUDAD DE BUENOS AIRES","ARG.5_1"
"Argentina-Cordoba","Argentina","CORDOBA","ARG.6_1"
"Argentina-Entre_Rios","Argentina","ENTRE RIOS","ARG.8_1"
"Argentina-Santa_Fe","Argentina","SANTA FE","ARG.21_1"
"Argentina-Chaco","Argentina","CHACO","ARG.3_1"
"Argentina-Corrientes","Argentina","CORRIENTES","ARG.7_1"
"Argentina-Formosa","Argentina","FORMOSA","ARG.9_1"
"Argentina-Misiones","Argentina","MISIONES","ARG.14_1"
"Argentina-Catamarca","Argentina","CATAMARCA","ARG.2_1"
"Argentina-Jujuy","Argentina","JUJUY","ARG.10_1"
"Argentina-Salta","Argentina","SALTA","ARG.17_1"
"Argentina-Sgo_Del_Estero","Argentina","SANTIAGO DEL ESTERO","ARG.22_1"
"Argentina-Tucuman","Argentina","TUCUMAN","ARG.24_1"
"Argentina-La_Rioja","Argentina","LA RIOJA","ARG.12_1"
"Argentina-San_Luis","Argentina","SAN LUIS","ARG.19_1"
"Argentina-Mendoza","Argentina","MENDOZA","ARG.13_1"
"Argentina-San_Juan","Argentina","SAN JUAN","ARG.18_1"
"Argentina-Chubut","Argentina","CHUBUT","ARG.4_1"
"Argentina-La_Pampa","Argentina","LA PAMPA","ARG.11_1"
"Argentina-Rio_Negro","Argentina","RIO NEGRO","ARG.16_1"
"Argentina-Santa_Cruz","Argentina","SANTA CRUZ","ARG.20_1"
"Argentina-Neuquen","Argentina","NEUQUEN","ARG.15_1"
"Argentina-Tierra_del_Fuego","Argentina","TIERRA DEL FUEGO","ARG.23_1"
