"location","NAME_0","NAME_1","GID_1","NAME_2","NAME_3","GID_3"
"Haiti-Artibonite","Haiti","LARTIBONITE","HTI.3_1",NA,NA,NA
"Haiti-Centre","Haiti","CENTRE","HTI.1_1",NA,NA,NA
"Haiti-Grande_Anse","Haiti","GRANDANSE","HTI.2_1",NA,NA,NA
"Haiti-Nippes","Haiti","NIPPES","HTI.4_1",NA,NA,NA
"Haiti-Nord","Haiti","NORD","HTI.7_1",NA,NA,NA
"Haiti-Nord_Est","Haiti","NORD EST","HTI.5_1",NA,NA,NA
"Haiti-Nord_Ouest","Haiti","NORD OUEST","HTI.6_1",NA,NA,NA
"Haiti-Ouest","Haiti","OUEST","HTI.8_1",NA,NA,NA
"Haiti-Sud","Haiti","SUD","HTI.10_1",NA,NA,NA
"Haiti-Sud_Est","Haiti","SUD EST","HTI.9_1",NA,NA,NA
"Haiti-Artibonite-Desssalines_Marchand","Haiti","LARTIBONITE",NA,"DESSALINES","DESSALINES","HTI.3.1.2_1"
"Haiti-Artibonite-Ennery","Haiti","LARTIBONITE",NA,"LES GONAIVES","ENNERY","HTI.3.3.1_1"
"Haiti-Artibonite-Gonaives","Haiti","LARTIBONITE",NA,"LES GONAIVES","GONAIVES","HTI.3.3.2_1"
"Haiti-Artibonite-Verrettes","Haiti","LARTIBONITE",NA,"SAINT-MARC","VERETTES","HTI.3.5.3_1"
"Haiti-Centre-Hinche","Haiti","CENTRE",NA,"HINCHE","HINCHE","HTI.1.2.2_1"
"Haiti-Centre-Maissade","Haiti","CENTRE",NA,"HINCHE","MAISSADE","HTI.1.2.3_1"
"Haiti-Centre-Mirebalais","Haiti","CENTRE",NA,"MIREBALAIS","MIREBALAIS","HTI.1.4.2_1"
"Haiti-Grande_Anse-Corail","Haiti","GRANDANSE",NA,"CORAIL","CORAIL","HTI.2.2.2_1"
"Haiti-Grande_Anse-Dame_Marie","Haiti","GRANDANSE",NA,"ANSE DHAINAULT","DAME MARIE","HTI.2.1.2_1"
"Haiti-Grande_Anse-Roseaux","Haiti","GRANDANSE",NA,"CORAIL","ROSEAUX","HTI.2.2.4_1"
"Haiti-Nippes-Fond_Des_Negres","Haiti","NIPPES",NA,"MIRAGOANE","MIRAGOANE","HTI.4.2.1_1"
"Haiti-Nippes-Miragoane","Haiti","NIPPES",NA,"MIRAGOANE","MIRAGOANE","HTI.4.2.1_1"
"Haiti-Nord-Cap_Haitien","Haiti","NORD",NA,"LE CAP-HAITIEN","CAP HAITIEN","HTI.7.4.1_1"
"Haiti-Nord-Limbe","Haiti","NORD",NA,"LE LIMBE","LIMBE","HTI.7.5.2_1"
"Haiti-Nord-Milot","Haiti","NORD",NA,"LACUL-DU-NORD","MILOT","HTI.7.3.2_1"
"Haiti-Nord-Pignon","Haiti","NORD",NA,"BORGNE","PIGNON","HTI.7.1.3_1"
"Haiti-Nord-Plaine_du_Nord","Haiti","NORD",NA,"LACUL-DU-NORD","PLAINE DU NORD","HTI.7.3.3_1"
"Haiti-Nord-Plaisance","Haiti","NORD",NA,"PLAISANCE","PLAISANCE","HTI.7.6.2_1"
"Haiti-Nord_Est-Ouanaminthe","Haiti","NORD EST",NA,"OUANAMINTHE","OUANAMINTHE","HTI.5.3.3_1"
"Haiti-Nord_Ouest-La_Tortue","Haiti","NORD OUEST",NA,"PORT-DE-PAIX","LA TORTUE","HTI.6.2.3_1"
"Haiti-Nord_Ouest-Saint_Louis_du_Nord","Haiti","NORD OUEST",NA,"SAINT-LOUIS DU NORD","SAINT LOUIS DU NORD","HTI.6.3.2_1"
"Haiti-Ouest-Carrefour","Haiti","OUEST",NA,"PORT-AU-PRINCE","CARREFOUR","HTI.8.5.1_1"
"Haiti-Ouest-Croix_des_Bouquets","Haiti","OUEST",NA,"CROIX-DES-BOUQUETS","CROIX DES BOUQUETS","HTI.8.1.2_1"
"Haiti-Ouest-Delmas","Haiti","OUEST",NA,"PORT-AU-PRINCE","DELMAS","HTI.8.5.2_1"
"Haiti-Ouest-Petion_Ville","Haiti","OUEST",NA,"PORT-AU-PRINCE","PETION VILLE","HTI.8.5.5_1"
"Haiti-Ouest-Petit_Goave","Haiti","OUEST",NA,"LEOGANE","PETIT GOAVE","HTI.8.4.3_1"
"Haiti-Ouest-Port_au_Prince","Haiti","OUEST",NA,"PORT-AU-PRINCE","PORT AU PRINCE","HTI.8.5.6_1"
"Haiti-Sud-Aquin","Haiti","SUD",NA,"AQUIN","AQUIN","HTI.10.1.1_1"
"Haiti-Sud_Est-Anse_A_Pitres","Haiti","SUD EST",NA,"BELLE-ANSE","ANSE A PITRE","HTI.9.2.1_1"
"Haiti-Sud_Est-Cotes_de_Fer","Haiti","SUD EST",NA,"BAINET","COTES DE FER","HTI.9.1.2_1"
"Haiti-Sud_Est-Marigot","Haiti","SUD EST",NA,"JACMEL","MARIGOT","HTI.9.3.4_1"
